ID,sector,source,year,value,units
32,Transportation,Total Energy,1986,20788.785,Trillion Btu
32,Industrial,Total Energy,1986,28273.554,Trillion Btu
32,Commercial,Total Energy,1986,11606.106,Trillion Btu
32,Residential,Total Energy,1986,15975.109,Trillion Btu
31,Commercial,Total Energy,1987,11946.009,Trillion Btu
31,Industrial,Total Energy,1987,29378.886,Trillion Btu
31,Transportation,Total Energy,1987,21468.88,Trillion Btu
31,Residential,Total Energy,1987,16263.214,Trillion Btu
30,Residential,Total Energy,1988,17132.613,Trillion Btu
30,Industrial,Total Energy,1988,30677.381,Trillion Btu
30,Transportation,Total Energy,1988,22317.722,Trillion Btu
30,Commercial,Total Energy,1988,12578.091,Trillion Btu
29,Residential,Total Energy,1989,17789.714,Trillion Btu
29,Commercial,Total Energy,1989,13196.297,Trillion Btu
29,Transportation,Total Energy,1989,22478.575,Trillion Btu
29,Industrial,Total Energy,1989,31327.767,Trillion Btu
28,Transportation,Total Energy,1990,22418.964,Trillion Btu
28,Commercial,Total Energy,1990,13317.346,Trillion Btu
28,Residential,Total Energy,1990,16940.06,Trillion Btu
28,Industrial,Total Energy,1990,31801.602,Trillion Btu
27,Transportation,Total Energy,1991,22117.987,Trillion Btu
27,Residential,Total Energy,1991,17419.327,Trillion Btu
27,Industrial,Total Energy,1991,31399.342,Trillion Btu
27,Commercial,Total Energy,1991,13499.98,Trillion Btu
26,Transportation,Total Energy,1992,22415.073,Trillion Btu
26,Commercial,Total Energy,1992,13441.096,Trillion Btu
26,Industrial,Total Energy,1992,32570.887,Trillion Btu
26,Residential,Total Energy,1992,17354.77,Trillion Btu
25,Industrial,Total Energy,1993,32618.544,Trillion Btu
25,Commercial,Total Energy,1993,13816.878,Trillion Btu
25,Transportation,Total Energy,1993,22670.767,Trillion Btu
25,Residential,Total Energy,1993,18211.592,Trillion Btu
24,Industrial,Total Energy,1994,33519.691,Trillion Btu
24,Transportation,Total Energy,1994,23318.674,Trillion Btu
24,Residential,Total Energy,1994,18110.261,Trillion Btu
24,Commercial,Total Energy,1994,14097.265,Trillion Btu
23,Commercial,Total Energy,1995,14689.889,Trillion Btu
23,Industrial,Total Energy,1995,33969.227,Trillion Btu
23,Residential,Total Energy,1995,18516.656,Trillion Btu
23,Transportation,Total Energy,1995,23811.912,Trillion Btu
22,Transportation,Total Energy,1996,24419.296,Trillion Btu
22,Residential,Total Energy,1996,19501.836,Trillion Btu
22,Industrial,Total Energy,1996,34902.978,Trillion Btu
22,Commercial,Total Energy,1996,15171.883,Trillion Btu
21,Commercial,Total Energy,1997,15681.148,Trillion Btu
21,Transportation,Total Energy,1997,24722.565,Trillion Btu
21,Industrial,Total Energy,1997,35198.99,Trillion Btu
21,Residential,Total Energy,1997,18962.255,Trillion Btu
